model,MAE,RMSE,R^2
HistGradientBoostingModel,0.4783972946440377,0.7095219454736702,0.3731733525686526
Random Forest,0.4876376001104349,0.7297670863603957,0.3368919051477476
Linear Regression Model,0.5480102945200801,0.774438498357558,0.253225200827774
baseline_current_power,0.5903092922051424,0.9517222222036442,-0.12781068622882863
baseline_yesterday_power,0.7334278265246531,1.0967659343942255,-0.49776504554467804
